,movie_title,release_date,genre,age_rating,total_gross,inflation_adjusted_gross
530,Lincoln,2012-11-09,Drama,+13 & Parent Guidance,182207973,192122330
531,Oz the Great and Powerful,2013-03-08,Adventure,Parent Guidance,234770996,243434130
532,Iron Man 3,2013-05-03,Action,+13 & Parent Guidance,408992272,424084233
533,Monsters University,2013-06-21,Adventure,All,268488329,278395641
534,The Lone Ranger,2013-07-02,Western,+13 & Parent Guidance,89302115,92597388
535,Disney Planes,2013-08-09,Comedy,Parent Guidance,90282580,93614037
536,The Fifth Estate,2013-10-18,Drama,-17 & Parent Guidance,3254172,3374251
537,Thor: The Dark World,2013-11-08,Adventure,+13 & Parent Guidance,206362140,213962184
538,Kaze Tachinu,2013-11-08,Drama,+13 & Parent Guidance,5201879,5367415
539,Frozen,2013-11-22,Adventure,Parent Guidance,400738009,414997174
540,Delivery Man,2013-11-22,Comedy,+13 & Parent Guidance,30659817,31787136
541,Saving Mr. Banks,2013-12-13,Drama,+13 & Parent Guidance,83299761,86249969
542,Need for Speed,2014-03-14,Action,+13 & Parent Guidance,43568507,44955015
543,Muppets Most Wanted,2014-03-21,Comedy,Parent Guidance,51178893,52807594
544,Captain America: The Winter Soldier,2014-04-04,Action,+13 & Parent Guidance,259746958,268013076
545,Bears,2014-04-18,Documentary,All,17780194,18346024
546,Million Dollar Arm,2014-05-10,Drama,Parent Guidance,36447959,37607865
547,Maleficent,2014-05-30,Adventure,Parent Guidance,241407328,249089809
548,Planes: Fire and Rescue,2014-07-18,Adventure,Parent Guidance,59157732,61040349
549,Guardians of the Galaxy,2014-08-01,Adventure,+13 & Parent Guidance,333172112,343771168
550,The Hundred-Foot Journey,2014-08-08,Romantic Comedy,Parent Guidance,54235441,55961409
551,"Alexander and the Terrible, Horrible,…",2014-10-10,Comedy,Parent Guidance,66954149,69055550
552,Big Hero 6,2014-11-07,Adventure,Parent Guidance,222527828,229249222
553,Into the Woods,2014-12-25,Musical,Parent Guidance,128002372,130894237
554,Strange Magic,2015-01-23,Adventure,Parent Guidance,12429583,12429583
555,"McFarland, USA",2015-02-20,Drama,Parent Guidance,44480275,44480275
556,Cinderella,2015-03-13,Drama,Parent Guidance,201151353,201151353
557,Monkey Kingdom,2015-04-17,Documentary,All,16432322,16432322
558,Avengers: Age of Ultron,2015-05-01,Action,+13 & Parent Guidance,459005868,459005868
559,Tomorrowland,2015-05-22,Adventure,Parent Guidance,93436322,93436322
560,Inside Out,2015-06-19,Adventure,Parent Guidance,356461711,356461711
561,Ant-Man,2015-07-17,Action,+13 & Parent Guidance,180202163,180202163
562,Bridge of Spies,2015-10-16,Thriller/Suspense,+13 & Parent Guidance,72313754,72313754
563,The Good Dinosaur,2015-11-25,Adventure,Parent Guidance,123087120,123087120
564,Star Wars Ep. VII: The Force Awakens,2015-12-18,Adventure,+13 & Parent Guidance,936662225,936662225
565,The Finest Hours,2016-01-29,Thriller/Suspense,Parent Guidance,27569558,27569558
566,Zootopia,2016-03-04,Adventure,Parent Guidance,341268248,341268248
567,The Jungle Book,2016-04-15,Adventure,Parent Guidance,364001123,364001123
568,A Beautiful Planet,2016-04-29,Documentary,All,7895708,7895708
569,Captain America: Civil War,2016-05-06,Action,+13 & Parent Guidance,408084349,408084349
570,Alice Through the Looking Glass,2016-05-27,Adventure,Parent Guidance,77042381,77042381
571,Finding Dory,2016-06-17,Adventure,Parent Guidance,486295561,486295561
572,The BFG,2016-07-01,Adventure,Parent Guidance,55483770,55483770
573,Pete’s Dragon,2016-08-12,Adventure,Parent Guidance,76233151,76233151
574,The Light Between Oceans,2016-09-02,Drama,+13 & Parent Guidance,12545979,12545979
575,Queen of Katwe,2016-09-23,Drama,Parent Guidance,8874389,8874389
576,Doctor Strange,2016-11-04,Adventure,+13 & Parent Guidance,232532923,232532923
577,Moana,2016-11-23,Adventure,Parent Guidance,246082029,246082029
578,Rogue One: A Star Wars Story,2016-12-16,Adventure,+13 & Parent Guidance,529483936,529483936
